store_id,name,genre,subgenre
com.candyroom.clubcraft,"School Party Craft","Adventure",TBD
com.aspyr.swkotorii,"STAR WARS™: KOTOR II","Adventure",TBD
com.specialbit.lurking.android.full,"Stormhill Mystery (Full)","Adventure",TBD
com.unknownworlds.subnautica,"Subnautica","Adventure",TBD
com.thunderful.smbf,"Super Meat Boy Forever","Adventure",TBD
com.pixelballoon.tapknight,"Tap Knight - Idle Adventure","Adventure",TBD
com.and.games505.TerrariaPaid,"Terraria","Adventure",TBD
com.RustyLake.ThePastWithin,"The Past Within","Adventure",TBD
air.com.RustyLake.WhiteDoor,"The White Door","Adventure",TBD
com.tfl.bitgame,"Trail of Gods","Adventure",TBD
air.com.RustyLake.UndergroundBlossom,"Underground Blossom","Adventure",TBD
com.artifexmundi.mopa1.gp,"Unsolved: Hidden Mystery Games","Adventure",TBD
eu.bandainamcoent.verylittlenightmares,"Very Little Nightmares","Adventure",TBD
com.ddup.zombiewaves.zw,"Zombie Waves","Adventure",TBD
com.JindoBlu.FourPlayers,"1 2 3 4 Player Games - Offline","Arcade",TBD
com.JindoBlu.TwoPlayerGamesChallenge,"2 Player games : the Challenge","Arcade",TBD
com.fungames.blockcraft,"Block Craft 3D：Building Game","Arcade",TBD
com.orbitalknight.ridiculousfreekick,"Crazy Kick!","Arcade",TBD
com.freeplay.crazyoffice,"Crazy Office — Slap & Smash","Arcade",TBD
com.epsxe.ePSXe,"ePSXe for Android","Arcade",TBD
com.acidcousins.fdunk,"Flappy Dunk","Arcade",TBD
com.os.space.force.galaxy.alien,"Galaxiga: Galaxy Arcade Game","Arcade",TBD
com.robtopx.geometryjump,"Geometry Dash","Arcade",TBD
com.robtopx.geometryjumplite,"Geometry Dash Lite","Arcade",TBD
com.johnemulators.johngba,"John GBA","Arcade",TBD
com.snk.acakof2002,"KOF 2002 ACA NEOGEO","Arcade",TBD
org.mupen64plusae.v3.fzurita.pro,"M64Plus FZ Pro Emulator","Arcade",TBD
com.mojang.minecraftpe,"Minecraft: Dream it, Build it!","Arcade",TBD
com.vincentb.MobControl,"Mob Control","Arcade",TBD
com.fastemulator.gba,"My Boy! - GBA Emulator","Arcade",TBD
com.fastemulator.gbc,"My OldBoy! - GBC Emulator","Arcade",TBD
com.master.hotelmaster,"My Perfect Hotel","Arcade",TBD
com.QuanticBit.NeonValley,"Neon Valley [AMOLED]","Arcade",TBD
com.explusalpha.NesEmu,"NES.emu (NES Emulator)","Arcade",TBD
com.hemispheregames.osmos,"Osmos","Arcade",TBD
io.voodoo.paper2,"Paper.io 2","Arcade",TBD
it.dbtecno.pizzaboygbapro,"Pizza Boy A Pro","Arcade",TBD
it.dbtecno.pizzaboypro,"Pizza Boy C Pro","Arcade",TBD
com.pocketchamps.game,"Pocket Champs: 3D Racing Games","Arcade",TBD
